"","Username","Post","Time","Date","Time1","Hour"
"11",365,"why guo liang never cast as Commanding officer?","21-02-2017, 01:12 PM",2017-02-21,"01:12 PM",1
"12",283,"Why all the baret look... Wrong?","21-02-2017, 01:13 PM",2017-02-21,"01:13 PM",1
"13",477,"So who is the main actress, paige or felicia?","21-02-2017, 01:14 PM",2017-02-21,"01:14 PM",1
"14",366,"Fail! What kind of salute is that?","21-02-2017, 01:14 PM",2017-02-21,"01:14 PM",1
"15",224,"Felicia looks so skinny in that no.4. Left most looks gd n gd posture lol","21-02-2017, 01:17 PM",2017-02-21,"01:17 PM",1
"16",15,"I would watch 慰国鲜丰。","21-02-2017, 01:18 PM",2017-02-21,"01:18 PM",1
"17",217,"Another boring government propaganda drama. Skip.","21-02-2017, 01:19 PM",2017-02-21,"01:19 PM",1
"18",401,"Yalor left one de posture the best among the 3","21-02-2017, 01:20 PM",2017-02-21,"01:20 PM",1
"19",59,"Felicia lah, zaobao didn't even bother interviewing paige.","21-02-2017, 01:21 PM",2017-02-21,"01:21 PM",1
"20",440,"their imaging session","21-02-2017, 01:22 PM",2017-02-21,"01:22 PM",1
"21",118,"Rather watch china hk taiwan drama","21-02-2017, 01:22 PM",2017-02-21,"01:22 PM",1
"22",197,"so many critics now.. but 1 month later i see some official thread for this drama and edmw-ers discussing it until got dragon got tiger.","21-02-2017, 01:22 PM",2017-02-21,"01:22 PM",1
"23",401,"Official thread cfm have The junior mod will create one","21-02-2017, 01:23 PM",2017-02-21,"01:23 PM",1
"24",440,"their lensing ceremony:https://www.facebook.com/ch8sg/video...4543652285345/","21-02-2017, 01:24 PM",2017-02-21,"01:24 PM",1
"25",477,"Jin cham, paige acting improve vastly over the past few years, but couldn't clinch the main actress in any drama.","21-02-2017, 01:25 PM",2017-02-21,"01:25 PM",1
"26",313,"No, not creating it since there is already a thread here. Will only add details on my post on the 1st page宁静的夏天 - HardwareZone Forums app","21-02-2017, 01:25 PM",2017-02-21,"01:25 PM",1
"27",440,"good news no wood ng ","21-02-2017, 01:27 PM",2017-02-21,"01:27 PM",1
"28",319,"At least they got it right by getting sinkies to act in this drama","21-02-2017, 01:27 PM",2017-02-21,"01:27 PM",1
"29",338,"China's propaganda still better","21-02-2017, 01:28 PM",2017-02-21,"01:28 PM",1
"30",440,"for meixin fans","21-02-2017, 01:29 PM",2017-02-21,"01:29 PM",1
"31",26,"watch to criticise mah hahahahahaa","21-02-2017, 01:30 PM",2017-02-21,"01:30 PM",1
"32",429,"watch to criticise mah hahahahahaa Wait got atb insai then can shoot ga0ga0","21-02-2017, 01:32 PM",2017-02-21,"01:32 PM",1
"33",357,"All the berets stiff stiff one... No one seasoned it for them?","21-02-2017, 01:33 PM",2017-02-21,"01:33 PM",1
"34",440,"2 newcomers 许瑞奇和沈家玉
新演员许瑞奇在参加《校园美魔王》时被发掘，第一次演电视剧，就成为主角之一，对此他觉得自己十分幸运。许瑞奇在戏里饰演“先锋”一角，将与饰演“卫国”的包勋评和新人女演员沈家玉展开一段三角恋。
see riao sibei no feel","21-02-2017, 01:33 PM",2017-02-21,"01:33 PM",1
"35",116,"family drama again ah","21-02-2017, 01:34 PM",2017-02-21,"01:34 PM",1
"36",197,"on a side note.. is fel chin trying to look like her AT bf??? ","21-02-2017, 01:35 PM",2017-02-21,"01:35 PM",1
"37",277,"Bookmarked....","21-02-2017, 01:39 PM",2017-02-21,"01:39 PM",1
"38",348,"this is part 1, part 2 is jobs for FT","21-02-2017, 01:40 PM",2017-02-21,"01:40 PM",1
"39",26," she just got unique look ba","21-02-2017, 01:40 PM",2017-02-21,"01:40 PM",1
"40",35,"Why never ask Desmond to wear his real uniform. Sure pwn all","21-02-2017, 01:41 PM",2017-02-21,"01:41 PM",1
"41",408,"Waste time, waste electricity, waste brain cells!!!!","21-02-2017, 01:42 PM",2017-02-21,"01:42 PM",1
"42",59,"Boring as hell genre, this one i definitely won't watch, unless felicia start to speak in a tiong accent. ","21-02-2017, 01:44 PM",2017-02-21,"01:44 PM",1
"43",313,"","21-02-2017, 01:45 PM",2017-02-21,"01:45 PM",1
"44",307,"If Only I Could, no?","21-02-2017, 01:49 PM",2017-02-21,"01:49 PM",1
"45",12,"dafug. the lady got more seh than the guy... freaking looks like he came back for reservice sia.","21-02-2017, 01:51 PM",2017-02-21,"01:51 PM",1
"46",143," F LAH AGAIN Felicia Chin?? zzzzzz WHY DON'T HAVE YA HUI !!!!!","21-02-2017, 01:54 PM",2017-02-21,"01:54 PM",1
"47",59,"
Yahui play mata in clif4 already no seh how to act army.","21-02-2017, 02:05 PM",2017-02-21,"02:05 PM",2
"48",85,"Lost to last time 新兵小傳","21-02-2017, 02:10 PM",2017-02-21,"02:10 PM",2
"49",149,"this dude looks like jeremy LOL","21-02-2017, 02:15 PM",2017-02-21,"02:15 PM",2
"50",362,"Why never ask tay ping hui. I rem he is officer also","21-02-2017, 02:15 PM",2017-02-21,"02:15 PM",2
"51",329,"Not another wayang government sponsored propaganda show","21-02-2017, 02:17 PM",2017-02-21,"02:17 PM",2
"52",50,"will have traditional sg drama lape scene?","21-02-2017, 02:28 PM",2017-02-21,"02:28 PM",2
"53",12,"","21-02-2017, 02:29 PM",2017-02-21,"02:29 PM",2
"54",50,"my room tv not even connected to the TV cable  used it for DVD/chromecast.... maybe going to get another andriod box for my room ","21-02-2017, 02:29 PM",2017-02-21,"02:29 PM",2
"55",14,"","21-02-2017, 02:58 PM",2017-02-21,"02:58 PM",2
"56",285,"Very long nvr watch mediacorpse drama. Which one is FT?","21-02-2017, 03:02 PM",2017-02-21,"03:02 PM",3
"57",435,"knn...Pierre Png don't even know how to wear beret properly...the badge in the centre of forehead","21-02-2017, 03:04 PM",2017-02-21,"03:04 PM",3
"58",313,"Closest is Mei Xin but she is not acting as a servicewoman here","21-02-2017, 03:06 PM",2017-02-21,"03:06 PM",3
"59",12,"cos someone set the standard ","21-02-2017, 03:12 PM",2017-02-21,"03:12 PM",3
"60",208,"Why both look like.....","21-02-2017, 03:17 PM",2017-02-21,"03:17 PM",3
"61",385,"","21-02-2017, 03:20 PM",2017-02-21,"03:20 PM",3
"62",210,"for those who nv serve NS or female to watch.... those serve in army before still wan to watch this kinda drama? 2 years + 10 years cycle of wearing that uniform not enough for u is it?","21-02-2017, 03:23 PM",2017-02-21,"03:23 PM",3
"63",320,"Educational program. Saf lagging soldier, need to inspire youngling trap inside...","21-02-2017, 03:26 PM",2017-02-21,"03:26 PM",3
"64",450,"shld showcase the volunteer corp then get all the tiong pinoy watever actors to act better","21-02-2017, 03:26 PM",2017-02-21,"03:26 PM",3
"65",379,"NS = PAP remember this","21-02-2017, 03:38 PM",2017-02-21,"03:38 PM",3
"66",401," jasmine's look quite special leh","21-02-2017, 03:40 PM",2017-02-21,"03:40 PM",3
"67",313,"Let's predict whether this girl will be the next EDMW favourite or not","21-02-2017, 03:46 PM",2017-02-21,"03:46 PM",3
"68",294,"Reality....","21-02-2017, 03:50 PM",2017-02-21,"03:50 PM",3
"69",401," now edmw favourites are meixin, yingying and bonnie?","21-02-2017, 03:52 PM",2017-02-21,"03:52 PM",3
"70",313,"Yeah the 3 of them","21-02-2017, 03:54 PM",2017-02-21,"03:54 PM",3
"71",26,"Zheng Geping super fit wor..for his age...really hard work. His IG inside got his workout videos..https://www.instagram.com/p/BQu8vjLjJEh/https://www.instagram.com/p/BOzqUh-j_WB/ <funny clip hahaha","21-02-2017, 04:03 PM",2017-02-21,"04:03 PM",4
"72",30,"how come pierre png so lao still cpl? he reservist ah?","21-02-2017, 04:06 PM",2017-02-21,"04:06 PM",4
"73",384,"This one beret weird weird ","21-02-2017, 04:13 PM",2017-02-21,"04:13 PM",4
"74",425,"Truer words have not been spoken. I can't be friends with people who still watch these crap. It's less entertainment value than a school production. So now with plunging ratings the Govt has to prop up the media companies by sponsoring content creation. Police firefighters and now the army. What's next coastguards as heroes? Tax money gone to waste.","21-02-2017, 04:13 PM",2017-02-21,"04:13 PM",4
"75",384,"NS time he MP leh ","21-02-2017, 04:17 PM",2017-02-21,"04:17 PM",4
"76",59,"Looks more special needs to me.","21-02-2017, 04:17 PM",2017-02-21,"04:17 PM",4
"77",209,"The girl looks quite pretty. Or above average at least albeit with lots of make up it seems. Who is she?","21-02-2017, 04:17 PM",2017-02-21,"04:17 PM",4
"78",185,"Yingying lor","21-02-2017, 04:22 PM",2017-02-21,"04:22 PM",4
"79",313,"What if the person watches everything? Like US UK SG JP KR HK CN dramas? Will you be his friend?","21-02-2017, 04:22 PM",2017-02-21,"04:22 PM",4
"80",461,"Actually their posture quite chin chai.  How the storyline to pao army, navy and airforce.","21-02-2017, 04:27 PM",2017-02-21,"04:27 PM",4
"81",440,"","21-02-2017, 08:22 PM",2017-02-21,"08:22 PM",8
"82",313,"Will update as more info will be released by Channel 8. For now unable to determine their character names just by looking at their nametags","21-02-2017, 09:48 PM",2017-02-21,"09:48 PM",9
"83",425,"I'm fine with all except the SG part. I want to be proud of my country but watching our shows is like eating **** and liking it. Friends don't let friends...","27-02-2017, 11:38 PM",2017-02-27,"11:38 PM",11
"84",163,"Ottoke kor kor conspermed will fight to start an offishure thread on this He takes pride in doing such thing","27-02-2017, 11:39 PM",2017-02-27,"11:39 PM",11
"85",313,"Oh and remember, do walk the ground more. ","28-02-2017, 08:57 AM",2017-02-28,"08:57 AM",8
"86",289,"This 2nd time felicia paige and shane in army drama","28-02-2017, 09:10 AM",2017-02-28,"09:10 AM",9
"87",387,"They filmed finished at ITI,filming at MMRC soon. Don't ask me how I know ","28-02-2017, 09:10 AM",2017-02-28,"09:10 AM",9
"88",148," Another silly piece of propaganda to brainwash daft sinkies with.","28-02-2017, 09:11 AM",2017-02-28,"09:11 AM",9
"89",477,"Actually the new gal Jasmine something is in the dream coder drama, her accent kinda weird though.","28-02-2017, 09:12 AM",2017-02-28,"09:12 AM",9
"90",104,"i find them stupid compared to the 80s version","28-02-2017, 09:13 AM",2017-02-28,"09:13 AM",9
"91",65,"""a bevy of local stars""
ownself call ownself stars?","28-02-2017, 09:15 AM",2017-02-28,"09:15 AM",9
"92",327,"Their script should contain the following scenes:
1. Commuters on public transport hiam NS men being too smelly and shouldn't be seated down
2. NS men goes for reservist and kena fired or retrenched.
3. NS men got discriminated during job search due to their reservist commitments.","28-02-2017, 09:17 AM",2017-02-28,"09:17 AM",9
"93",289,"Desmond is real life commando oficer  Dun play play","28-02-2017, 09:32 AM",2017-02-28,"09:32 AM",9
"94",78,"they are thinking of adding the terrex incident into the drama ","17-03-2017, 03:16 PM",2017-03-17,"03:16 PM",3
"95",126,"they are thinking of adding the terrex incident into the drama  Sauce? ","17-03-2017, 03:55 PM",2017-03-17,"03:55 PM",3
"96",313,"Lol really in training shed with all the maps","12-04-2017, 12:53 PM",2017-04-12,"12:53 PM",12
"97",402,"I never see people camo the neck during ict.","12-04-2017, 12:55 PM",2017-04-12,"12:55 PM",12
"98",305,"Desmond's camo skills better than Romeo's.","12-04-2017, 12:58 PM",2017-04-12,"12:58 PM",12
"99",313,"I got see before about 1 or 2 only...","12-04-2017, 01:02 PM",2017-04-12,"01:02 PM",1
"100",214,"Knn at the back got ppl eating cookhouse out ration","12-04-2017, 01:30 PM",2017-04-12,"01:30 PM",1
"101",96,"chiu see how many mediacock drama threads created by cocksters","12-04-2017, 01:34 PM",2017-04-12,"01:34 PM",1
"102",405,"卫国先疯 more likely","12-04-2017, 01:39 PM",2017-04-12,"01:39 PM",1
"103",181,"going to join army nao!","12-04-2017, 01:41 PM",2017-04-12,"01:41 PM",1
"104",12,"you mean 为国先疯","12-04-2017, 01:43 PM",2017-04-12,"01:43 PM",1
"105",68,"not going to watch haha!","12-04-2017, 01:49 PM",2017-04-12,"01:49 PM",1
"106",92,"they shd juz get jack neo to direct a army life drama.. all those jokes, punishment, stupid stuff..... let everybody laugh at...lol","12-04-2017, 01:52 PM",2017-04-12,"01:52 PM",1
"107",108,"Are those eating cookhouse food NSF calefares?","12-04-2017, 02:04 PM",2017-04-12,"02:04 PM",2
"108",178,"Fang zhan fa cpl? He reservist?lolol","12-04-2017, 02:19 PM",2017-04-12,"02:19 PM",2
"109",152,"i love FC in the number 3","12-04-2017, 02:19 PM",2017-04-12,"02:19 PM",2
"110",299,"other then Zheng GePing, Desmond Tan and Paige Chua, the all look like shiat! Especially that goondu call romeo, wtf wear the beret liddat? wear the slack liddat? felicia chin got marksman??? can she even hold a SAR21??? at least be a bit realistic lah.","12-04-2017, 02:24 PM",2017-04-12,"02:24 PM",2
"111",299,"not only beret salah, why dafug all of them wear vest under number 4??? only encik and officer (min capt) does that leh.","12-04-2017, 02:28 PM",2017-04-12,"02:28 PM",2
"112",299,"romeo camo too fake lah, dafug got pple so straight one. see already know others draw for him. wats wif the elbow and knee guard for desmond??","12-04-2017, 02:32 PM",2017-04-12,"02:32 PM",2
"113",60,"Romeo Tan ada officer sia: https://blackfusion.wordpress.com/2008/12/15/2lt-romeo-tan/","12-04-2017, 02:36 PM",2017-04-12,"02:36 PM",2
"114",34,"https://www.facebook.com/ch8sg/video...4697342635345/","12-04-2017, 02:45 PM",2017-04-12,"02:45 PM",2
"115",12,"hearsay can kneel for prolong period without hurting knee/ didnt think its worth it since i usually stand or prone outfield. rarely kneel for long period of time since there's always a cock up somewhere which leads to insufficient time remaining to travel on foot","12-04-2017, 02:46 PM",2017-04-12,"02:46 PM",2
"116",313,"","12-04-2017, 02:50 PM",2017-04-12,"02:50 PM",2
"117",12,"saf didnt sponsor food sia... they have to tapao.","12-04-2017, 02:50 PM",2017-04-12,"02:50 PM",2
"118",299,"serious bo!  with that kind of fug name still can make it to OCS???","12-04-2017, 02:51 PM",2017-04-12,"02:51 PM",2
"119",49,"Where's the Home Team sia","12-04-2017, 02:52 PM",2017-04-12,"02:52 PM",2
"120",12,"wait for clif5 or fireman drama","12-04-2017, 02:53 PM",2017-04-12,"02:53 PM",2
"121",75,"New equipment...nowadays its a standard leh....","12-04-2017, 02:58 PM",2017-04-12,"02:58 PM",2
"122",313,"If I remember correctly, the scouts in my unit do ride motorbike outfield (those SAF motorbikes) and the SOP is need wear elbow and knee guard. I dunno what else need wear these 2 though :/","12-04-2017, 03:04 PM",2017-04-12,"03:04 PM",3
"123",223,"This one beret weird weird  ","12-04-2017, 03:51 PM",2017-04-12,"03:51 PM",3
"124",460,"Why first posts photos all wear inner shirt ah?Posted with fingers HardwareZone Forums app","12-04-2017, 03:56 PM",2017-04-12,"03:56 PM",3
"125",60,"Let School Sergeant Major of Officer Cadet School & his Navy Wing Sergeant Major teach him the rope. Officers, please do not interfere!   Wrong wing liao...","12-04-2017, 04:06 PM",2017-04-12,"04:06 PM",4
"126",60,"Mai siao siao, ppl got selected for company ic before..","12-04-2017, 04:09 PM",2017-04-12,"04:09 PM",4
"127",12,"romeo jin staki","12-04-2017, 04:13 PM",2017-04-12,"04:13 PM",4
"128",223,"At least 'Ah Boys to Men' is a comedy film & we can accept whatever it happen. Mediacorp always let me have the feeling that they are trying very hard to act rather then a real life movie. Some more when they project SAF in the show like too far out from real life that cause me to lose appetite to carry on watching. I rather watch back old taiwan army movies like 報告班長, 狗蛋大兵, 號角響起, 金馬大兵 & etc.","12-04-2017, 04:14 PM",2017-04-12,"04:14 PM",4
"129",60,"Pls lah, army show are what that country mindef want to portray, nothing about whose director jin staki....
U see taiwan recent NS drama, also give ppl impression that they also have a strawberry army like us cos their tw army also want to tell ppl that their son is in safe hands.
U see this country like china different, they want to show ppl that their training is harsh but produce good soliders, so they keep producing army drama like this:  
Females who can march 200km and successfully finish their mission within 3 days? 
Even inside SAF commando also different to find normal commando who can do but that is my point, china just want to see its audience how satki their soliders is, even if they  exaggerate a lot.","12-04-2017, 04:25 PM",2017-04-12,"04:25 PM",4
"130",223,"","12-04-2017, 05:12 PM",2017-04-12,"05:12 PM",5
"131",139,"cb lah . mediacork always either produce family drama or police/army/navy drama. knn, got other plot or not? What about sports, gambling, business theme etc?","12-04-2017, 05:16 PM",2017-04-12,"05:16 PM",5
"132",381," The ladies of 'When Duty Calls': Jasmine Sim, Paige Chua, Felicia Chin can compare to this 1 bo:","12-04-2017, 05:18 PM",2017-04-12,"05:18 PM",5
"133",223,"","12-04-2017, 05:27 PM",2017-04-12,"05:27 PM",5
"134",223,"","12-04-2017, 05:30 PM",2017-04-12,"05:30 PM",5
"135",358,"In before heavy bass music to showcase their satkiness","12-04-2017, 11:02 PM",2017-04-12,"11:02 PM",11
"136",313,"Looks like a big scene is being filmed yesterday
Also see Romeo's IG story, he showed all the ambulance, police and ang chia
From his story, it seems that they are filming a scene of terrorists storming into a cinema and holding ppl hostage. ","24-04-2017, 11:30 AM",2017-04-24,"11:30 AM",11
"137",122,"Where are all the bui bui?","24-04-2017, 11:39 AM",2017-04-24,"11:39 AM",11
"138",401,"Mai siao siao Romeo in reality is air force officer Desmond in reality is commando officer So satki!","24-04-2017, 11:39 AM",2017-04-24,"11:39 AM",11
"139",122,"No FT wor....","24-04-2017, 11:41 AM",2017-04-24,"11:41 AM",11
"140",332,"Wa Paige again. MC got no more younger actresses who can act liao But also dun every drama also Paige la... abit sian liao","24-04-2017, 11:44 AM",2017-04-24,"11:44 AM",11
"141",210,"army speak all mandarin u all can understand? 
this kinda drama should only be in channel 5.","24-04-2017, 11:54 AM",2017-04-24,"11:54 AM",11
"142",440,"【娱乐】 《卫国先锋》拍恐袭大场面，金融区封路出动装甲车 　　 为庆祝国民服役50周年，新传媒与国防部及内政部合作开拍戏剧《卫国先锋》目前正如火如荼赶拍。前天和昨天，《卫》就在金融区珊顿道的新加坡大会堂制造恐袭，也是全剧的最大场面。 摄制组昨请来过百名临演，更封锁了数条道路。军方和警方也出动卫平者装甲速应车（Peacekeeper Protected Response Vehicle，简称PRV）和警车等作为拍摄用途，并动用了70多名军人充当临演，参与演出。 昨天参与拍摄的艺人包括陈罗密欧, 美心, 郑各评, 包勋评和钟琴等.","24-04-2017, 03:29 PM",2017-04-24,"03:29 PM",3
"143",59,"Sibei wayang ","24-04-2017, 03:40 PM",2017-04-24,"03:40 PM",3
"144",313,"Sibei wayang  I am quite interested to see how this terrorist scene will turn out though","24-04-2017, 04:22 PM",2017-04-24,"04:22 PM",4
"145",371,"That day will come soon! I hope MediaCorp gives her a good drama to lead soon after the year end production on aliens.","03-05-2017, 01:22 AM",2017-05-03,"01:22 AM",1
"146",143,"yea ","03-05-2017, 01:26 AM",2017-05-03,"01:26 AM",1
"147",143,"MC style is like "" take turn one "" last time always Rui En .....than stop come Rebecca Lim ....than stop come Woody X ....than stop u see the pattern? drama side still ok but is the script sucks for most drama...lucky the present one still can make it  which show on CH 8 9Pm now with Paige  but on hosting side...really SUCK TO CORE ALWAYS QYF , QYF ZZZZ  also crap..nothing special..... they got new one which show on Monday ,...still "" ok "" but kinda still like miss something .. the rest of the day ....nothing much on local Hositng program ... the most crap is on wed show the cooking from China production Singing one I think on thur also see liao a bit sianz liao ....always singing competition.....","03-05-2017, 01:31 AM",2017-05-03,"01:31 AM",1
"148",479,"Felicia salute like monkey king sia....","03-05-2017, 02:32 AM",2017-05-03,"02:32 AM",2
"149",441,"Rooks chio Would fark her!!!","03-05-2017, 03:08 AM",2017-05-03,"03:08 AM",3
"150",371," I think a lot have to do with Producers' and Directors' casting choices. Producers and Directors have a lot of say in casting. So it really depends as to whether they think this actor or actress can pull off the role. And it's also about timing and luck too. Every actor or actress will have a moment in their career when they would be given opportunities to shine or break through.  So if that actor/actress had been putting in effort to hone his/her acting skills and when the right role comes, he/she gave it all, most often than not, it will have good results. But if the drama is aired in a wrong timing or season, maybe lesser people will watch that drama, then results not that significant? But it all started with an opportunity and whether you have shown to Producers and Directors you are ready for certain roles or willing to push your envelope and venture into new roles.","03-05-2017, 10:13 AM",2017-05-03,"10:13 AM",10
"151",319,"My friend acting as calafare in this drama sio","03-05-2017, 10:57 AM",2017-05-03,"10:57 AM",10
"152",465,"Knn defend FT wear until so satki.","03-05-2017, 10:58 AM",2017-05-03,"10:58 AM",10
"153",371,"Can't wait for this drama. Please let this be a good drama. I probably should not get my expectations up too high. But really can't help feel intrigued. They have not revealed any storylines yet.","03-05-2017, 07:02 PM",2017-05-03,"07:02 PM",7
"154",308,"Wayang... perfect match for the organisation they are filming for.","03-05-2017, 07:05 PM",2017-05-03,"07:05 PM",7
"155",340,"NAtional propaganda drama u all so kumgong support","03-05-2017, 07:06 PM",2017-05-03,"07:06 PM",7
"156",371,"Haha, this is funny. Yeah she did a pretty good salute.","06-05-2017, 07:27 PM",2017-05-06,"07:27 PM",7
"157",277,"they came to my camp to flim.. saw paige and felicia zehzeh ._.","06-05-2017, 07:30 PM",2017-05-06,"07:30 PM",7
"158",390,"
Paige chua pants rike got sth wrong lei. She lost her garters sibo","06-05-2017, 08:50 PM",2017-05-06,"08:50 PM",8
"159",371,"What are garters?","06-05-2017, 09:15 PM",2017-05-06,"09:15 PM",9
"160",8,"Normally navy personnel dun have to wear garters if they are wearing safety shoes","06-05-2017, 09:29 PM",2017-05-06,"09:29 PM",9
"161",189,"","06-05-2017, 09:29 PM",2017-05-06,"09:29 PM",9
"162",349,"people love army dramas","06-05-2017, 09:34 PM",2017-05-06,"09:34 PM",9
"163",402,"where is your camp?","06-05-2017, 09:37 PM",2017-05-06,"09:37 PM",9
"164",291,"try too hard wor..
like trying to follow the trend after Descendants of the sons","06-05-2017, 09:42 PM",2017-05-06,"09:42 PM",9
"165",246,"confirm chiu not from navy ","06-05-2017, 10:24 PM",2017-05-06,"10:24 PM",10
"166",188,"Wayang wan yang ing the Wayang .......","06-05-2017, 10:37 PM",2017-05-06,"10:37 PM",10
"167",73,"zheng geping the best image liao","06-05-2017, 10:39 PM",2017-05-06,"10:39 PM",10
"168",451,"directed by jack neo siboh?","06-05-2017, 10:40 PM",2017-05-06,"10:40 PM",10
"169",221,"Plus chop many ppl watching this even if they hate pap or army..","06-05-2017, 10:58 PM",2017-05-06,"10:58 PM",10
"170",390,"confirm chiu not from navy  Learnt sth new today :-D","07-05-2017, 12:29 AM",2017-05-07,"12:29 AM",12
"171",122,"Lol. Who are they going to fight in the drama?
Enemies from unknown country?","07-05-2017, 12:41 AM",2017-05-07,"12:41 AM",12
"172",140,"Lol. Who are they going to fight in the drama? 
Enemies from unknown country?","07-05-2017, 12:46 AM",2017-05-07,"12:46 AM",12
"173",63,"paige chua is keyi","07-05-2017, 12:54 AM",2017-05-07,"12:54 AM",12
"174",371,"I think terrorists, illegal immigrants, pirates?","07-05-2017, 03:59 AM",2017-05-07,"03:59 AM",3
"175",408,"Fight for FTs and your elites? No thanks. I know dogs will tell me you fight for your family but I am pretty sure the elites and ft won't be fighting for yours...","07-05-2017, 08:21 AM",2017-05-07,"08:21 AM",8
"176",402,"training to be soldier....","07-05-2017, 08:24 AM",2017-05-07,"08:24 AM",8
"177",286,"Someone should make a drama where Singapore fights Malaysia or Indonesia.","07-05-2017, 08:27 AM",2017-05-07,"08:27 AM",8
"178",126,"PAP govt would be nuts to approve such a script ","07-05-2017, 08:30 AM",2017-05-07,"08:30 AM",8
"179",411,"They insulted the uniform by putting hand in pockets","07-05-2017, 08:31 AM",2017-05-07,"08:31 AM",8
